text,emotion
I think I am grateful a lot,gratitude
I think I feel serene a lot,peace
I feel hopeful,hope
I think I feel serene a lot,peace
Honestly I feel irritated right now,anger
Honestly I adore this,love
Honestly Life is beautiful these days,joy
I think I feel accomplished a lot,pride
Today Too much pressure right now,stress
Right now I appreciate this today,gratitude
Today I am annoyed right now,anger
Honestly I feel stressed today,stress
Today I feel okay,neutral
Thanks for everything these days,gratitude
I think I am feeling low a lot,sadness
Today Hope keeps me going these days,hope
I feel afraid today,fear
Today I feel irritated today,anger
I think I am shocked,surprise
I think I feel irritated,anger
I feel calm right now,peace
Right now Too much pressure these days,stress
Right now I feel joyful and excited right now,joy
I think I feel serene these days,peace
I feel calm today,peace
Today Just a normal day these days,neutral
Today I love this today,love
I think I am worried these days,fear
Honestly I worked hard,pride
Today I am annoyed a lot,anger
I think I feel okay,neutral
I think I love this right now,love
Thanks for everything today,gratitude
I am very angry right now,anger
Today I am annoyed today,anger
I think I am grateful these days,gratitude
Honestly I feel very happy today right now,joy
I think I feel bored right now,boredom
I think I am scared right now,fear
I feel joyful and excited these days,joy
I think I feel fine,neutral
I feel proud,pride
I think I feel serene,peace
I think This is boring right now,boredom
I think Things will get better today,hope
That smells bad a lot,disgust
Right now I believe in future,hope
Right now I am optimistic these days,hope
Honestly I feel repulsed,disgust
Right now This makes me furious,anger
Today I care deeply,love
This is a wonderful day a lot,joy
Today Everything feels wrong these days,sadness
Honestly I feel irritated right now,anger
Honestly I feel joyful and excited today,joy
Honestly Everything feels wrong right now,sadness
Right now I feel exhausted a lot,stress
I am worried,fear
Right now I achieved something,pride
I think I didn’t expect this,surprise
I think I am very angry,anger
Right now I feel stressed a lot,stress
Today I feel okay right now,neutral
Today I lost my temper right now,anger
Today That was unexpected a lot,surprise
Today I feel loved right now,love
I feel irritated these days,anger
I think I lost my temper a lot,anger
Today I feel stressed right now,stress
Honestly I lost my temper these days,anger
Today I feel nervous,fear
Honestly I feel okay these days,neutral
Today I appreciate this,gratitude
Today Things will get better a lot,hope
Today I feel loved right now,love
I am optimistic these days,hope
Honestly Life is beautiful,joy
I think I care deeply these days,love
Right now Everything is peaceful a lot,peace
I think I feel bored,boredom
Honestly I am overwhelmed a lot,stress
Everything feels wrong today,sadness
Right now Hope keeps me going today,hope
I adore this a lot,love
Right now I worked hard a lot,pride
This makes me furious today,anger
I didn’t expect this these days,surprise
Today I feel bored these days,boredom
I feel joyful and excited right now,joy
Honestly I feel sick right now,disgust
Today That was unexpected right now,surprise
Right now I am shocked today,surprise
Today I believe in future right now,hope
Right now This is frightening today,fear
I think Things will get better today,hope
Right now Thanks for everything these days,gratitude
Today I feel like crying right now,sadness
Right now I am shocked today,surprise
I think I am annoyed,anger
I think Everything feels wrong a lot,sadness
Today I feel sleepy right now,boredom
Today I am optimistic a lot,hope
Honestly I worked hard these days,pride
I am grateful,gratitude
Today I worked hard right now,pride
Honestly I am scared,fear
Today This is my success today,pride
I feel like crying right now,sadness
Honestly I feel lonely these days,sadness
Right now I care deeply today,love
Today This surprised me today,surprise
Honestly I feel relaxed right now,peace
I think This is frightening a lot,fear
Today This is a wonderful day,joy
This is gross,disgust
I think Thanks for everything a lot,gratitude
Right now I feel very sad these days,sadness
Today Thanks for everything,gratitude
I feel calm,peace
Right now Nothing to do a lot,boredom
Today I worked hard,pride
Everything is dull today,boredom
I think Thanks for everything today,gratitude
Right now I am very angry right now,anger
Today Life is beautiful right now,joy
Today I cannot relax,stress
Right now This is gross these days,disgust
Honestly I feel thankful right now,gratitude
Right now I feel serene these days,peace
